Nome,Album,Data,Artista,Genero
Do I Wanna Know?,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
R U Mine?,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
One For The Road,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
Arabella,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
I Want It All,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
No. 1 Party Anthem,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
Mad Sounds,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
Fireside,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
Why'd You Only Call Me When You're High?,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
Snap Out Of It,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
Knee Socks,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
I Wanna Be Yours,AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
2013 (Vinyl Bonus),AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
Stop the World I Wanna Get Off with You (Vinyl Bonus),AM,2013,Arctic Monkeys,"['Rock Alternativo', 'Rock', 'Indie']"
Dirty Paws,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
King and Lionheart,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
Mountain Sound,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
Slow and Steady,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
From Finner,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
Little Talks,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
Six Weeks,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
"Love, Love, Love",My Head Is an Animal,2012,Of Monsters and Men,['Indie']
Your Bones,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
Sloom,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
Lakehouse,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
Yellow Light,My Head Is an Animal,2012,Of Monsters and Men,['Indie']
Atención,Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
Banana (feat. Becky G),Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
"Onda Diferente (com Ludmilla, Papatinho e Snoop Dogg)",Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
Sin Miedo (con D.J. Luian e Mambo Kingz),Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
Poquito (feat. Swae Lee),Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
Tu y Yo (con Chris Marsh),Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
Get to Know Me (feat. Alesso),Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
Rosa (con Prince Royce),Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
Juego,Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
Você Mentiu (com Caetano Veloso),Kisses,2019,,"['Pop', 'Dance', 'Funk Carioca']"
Rima Com Rima,Cavalo De Pau,1982,Alceu Valença,['MPB']
Tropicana,Cavalo De Pau,1982,Alceu Valença,['MPB']
Como Dois Animais,Cavalo De Pau,1982,Alceu Valença,['MPB']
Pelas Ruas Que Andei,Cavalo De Pau,1982,Alceu Valença,['MPB']
Martelo Alagoano,Cavalo De Pau,1982,Alceu Valença,['MPB']
Lava Mágoas,Cavalo De Pau,1982,Alceu Valença,['MPB']
Cavalo de Pau,Cavalo De Pau,1982,Alceu Valença,['MPB']
Maracatu,Cavalo De Pau,1982,Alceu Valença,['MPB']
